ผู้สมัครรับเลือกตั้งสมาชิกวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
นครปฐม,นายธนาวัติ เขียวรุ้งเพชร,2,ชาย,51 - 60 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
นครปฐม,นายไพบูลย์ เสถียรปกิรณกรณ์,3,ชาย,61 - 70 ปี,ปริญญาตรี,ข้าราชการบำนาญ
นครปฐม,พันตำรวจเอกมโนรถ สิทธานนท์,4,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
นครพนม,นายจำลอง รัตนโกเศศ,3,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
นครพนม,นายพงษ์เสกสรร แสนสุข,4,ชาย,40 - 50 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
นครพนม,นายวัชรินทร์ เจียวิริยบุญญา,2,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นครพนม,นายสมนาม เหล่าเกียรติ,1,ชาย,40 - 50 ปี,ปริญญาโท,พนักงานส่วนท้องถิ่น
นครพนม,นายโอภาส สุมนารถ,5,ชาย,61 - 70 ปี,ปริญญาโท,รับจ้าง/อาชีพอิสระ
นครราชสีมา,นางเพ็ญศรี จารุกำเนิดกนก,4,หญิง,61 - 70 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
นครราชสีมา,นายปรีชา กำพุฒกลาง,2,ชาย,51 - 60 ปี,ปริญญาโท,ข้าราชการประจำ
นครราชสีมา,นายพงษ์ศิริ กุสุมภ์,1,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการประจำ
นครราชสีมา,นายไพลิน ภูวสวัสดิ์,5,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
นครราชสีมา,นายสุรัตน์ จุลวรวงศ์,6,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
นครราชสีมา,พลเอกวีรวุธ ส่งสาย,3,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
นครศรีธรรมราช,นายเฉลิมศักดิ์ บุญนำ,6,ชาย,40 - 50 ปี,ปริญญาโท,ครู/อาจารย์/นักวิชาการ
นครศรีธรรมราช,นายนัฏฐวัฒน์ สุดประเสริฐ,7,ชาย,40 - 50 ปี,ปริญญาเอก,ครู/อาจารย์/นักวิชาการ
นครศรีธรรมราช,นายมงคล อินทสุวรรณ์,4,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
นครศรีธรรมราช,นายมนัส เพ็งสุทธิ์,1,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
นครศรีธรรมราช,นายสุวัฒน์ ตั้งตระกูล,3,ชาย,51 - 60 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
นครศรีธรรมราช,นายอรุณ ชนะคช,5,ชาย,61 - 70 ปี,ปริญญาตรี,ข้าราชการบำนาญ
นครศรีธรรมราช,พันจ่าอากาศเอกอากร ณ นคร,8,ชาย,61 - 70 ปี,ปริญญาตรี,ข้าราชการบำนาญ
นครศรีธรรมราช,พันตำรวจเอกธรรมนูญ ไฝจู,2,ชาย,51 - 60 ปี,ปริญญาโท,ข้าราชการบำนาญ
นครสวรรค์,นางลัดดาวัลย์ เดชเจริญรุ่งเรือง,6,หญิง,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
นครสวรรค์,นายธรรมรัฐ เนียมณรงค์,2,ชาย,61 - 70 ปี,ปริญญาตรี,ทนาย/นักกฎหมาย
นครสวรรค์,นายนิกร รักษ์พุก,5,ชาย,40 - 50 ปี,ปริญญาตรี,รับจ้าง/อาชีพอิสระ
นครสวรรค์,นายบูรพา ผู้ภักดี,3,ชาย,51 - 60 ปี,ปริญญาโท,ข้าราชการประจำ
นครสวรรค์,นายวุฒิพงษ์ ชวนประสงค์,4,ชาย,51 - 60 ปี,ปริญญาตรี,ครู/อาจารย์/นักวิชาการ
นครสวรรค์,เรืออากาศเอกจักวาล ตั้งภากรณ์,1,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
นนทบุรี,นางพรพิมล บุญนิมิตร,9,หญิง,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
นนทบุรี,นางพิมพร ชูรอด,8,หญิง,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
